车站,高铁计数,高德经纬度(缺240暂不分列）,,,,
都昌站,13,"116.218081,29.281634",,,116.218081,29.281634
都格站,0,"104.697777,26.358362",,,104.697777,26.358362
都江堰站,43,"103.638416,30.957077",,,103.638416,30.957077
都匀站,0,"107.515679,26.232686",,,107.515679,26.232686
都匀东站,43,"107.585638,26.165721",,,107.585638,26.165721
斗沟子站,0,"129.261337,43.941185",,,129.261337,43.941185
豆罗站,0,"112.707886,38.309910",,,112.707886,38.30991
豆庄站,0,"113.847015,36.729702",,,113.847015,36.729702
独山站,0, ,,,0,0
杜拉尔站,0,"90.297302,28.685312",,,90.297302,28.685312
渡市站,0,"107.284897,31.025824",,,107.284897,31.025824
端州站,28,"112.513711,23.110728",,,112.513711,23.110728
对青山站,0, ,,,0,0
兑镇站,0,"111.610313,37.089893",,,111.610313,37.089893
敦化站,46,"128.245796,43.379971",,,128.245796,43.379971
敦煌站,0, ,,,0,0
峨边站,0,"103.271950,29.253263",,,103.27195,29.253263
峨眉站,0,"103.522148,29.591370",,,103.522148,29.59137
峨眉山站,22,"103.466335,29.576462",,,103.466335,29.576462
额济纳站,0,"101.042450,41.892319",,,101.04245,41.892319
鄂尔多斯站,4,"109.781327,39.608266",,,109.781327,39.608266
鄂州站,54,"114.866652,30.361598",,,114.866652,30.361598
鄂州东站,2,"114.948095,30.361526",,,114.948095,30.361526
